"",".id","positives","pos_l_ci","pos_u_ci","tested","tested_l_ci","tested_u_ci"
"1","2010_10_north central",1.64615725,0.4678745,2.571632,7.38640125,2.184943,9.6222525
"2","2010_10_north east",6.499143,2.6453296,9.4517238,28.6666218,19.6313016,38.6573446
"3","2010_10_north west",10.0651493333333,6.333612,16.4601,29.6432386666667,19.000836,35.6458533333333
"4","2010_10_south east",3.010479,1.062002,3.010479,16.644293,12.213023,16.644293
"5","2010_10_south south",5.582463,3.53632528744575,9.86968878423464,21.5181908,13.8925284,28.941262
"6","2010_10_south west",12.5730466666667,3.21543,24.468465,18.7397473333333,4.823145,35.887082
"7","2010_11_north central",3.29147,2.895355,4.044887,11.5974163333333,8.089774,13.7264166666667
"8","2010_11_south east",2.648108,1.70116167530739,3.75298695051048,10.376351125,7.57911464833722,12.1273918796709
"9","2010_11_south south",2.25959433333333,0.369896,3.39058733333333,11.92352,9.617296,13.421776
"10","2010_11_south west",6.04667811111111,3.44063480204638,9.98639077033553,13.7114938888889,10.7291866133379,17.6304280766637
"11","2010_12_north east",0.773494666666667,0.493951,0.988885333333333,7.45328566666667,4.461665,9.13307233333333
"12","2010_12_north west",7.3452705,5.385357,7.3452705,42.8948715,33.731292,42.8948715
"13","2015_10_north central",2.709165,1.028319,4.28195198327231,13.4328855,8.02851225,17.560044
"14","2015_10_north east",1.22515725,0.46942625,1.884818,13.11897875,4.80593775,20.732998
"15","2015_10_north west",4.72861766666667,3.57681471701887,6.25774086723137,24.2411955833333,18.7556496919521,33.4075001758672
"16","2015_10_south east",5.12531525,3.14498133220252,8.03676850285395,16.879817125,13.419209846187,20.2211737439987
"17","2015_10_south south",3.13000428571429,0.948991,9.17080653251116,12.4755462857143,8.65397766030908,18.2882375760793
"18","2015_10_south west",2.354753,1.71383426656547,3.27769134127454,11.1918500909091,8.67165628735685,14.5479472939149
"19","2015_11_north central",0.965653,0.261669,1.910184,10.249434,3.140028,14.296582
"20","2015_11_north east",3.2860955,0.493656,3.2860955,27.806598,11.847744,27.806598
"21","2015_11_north west",1.96891325,0.8220115,3.6940425,11.3528035,5.001619,16.8599965
"22","2015_11_south east",1.62964716666667,1.15930666666667,2.16304983333333,7.9060275,5.7754755245502,9.61708971298899
"23","2015_11_south south",0.8797555,0.714419,0.8797555,5.1131965,5.000933,5.1131965
"24","2015_11_south west",3.13853690909091,2.27830785775792,4.78742129306721,18.2011761818182,10.8294809068376,38.3149702358243
"25","2018_10_north central",0.985545833333333,0.708544185426437,1.38387933694355,3.98518041666667,2.66855029591807,5.92739308154748
"26","2018_10_north east",1.57889175,0.69728,2.98143275,7.130449,3.210366,13.113717
"27","2018_10_north west",2.640143625,1.37685317946255,5.84226417594759,9.65206375,5.63618585895228,14.3479292128185
"28","2018_10_south east",2.672648,2.00969350019686,3.90364186044258,8.07224927272727,6.13468760429211,10.3762506046629
"29","2018_10_south south",2.15259,0.678865333333333,4.88477846035302,7.303615,2.82724233333333,11.5006744437636
"30","2018_10_south west",1.94370036363636,1.36136891024222,3.51817192446962,7.03681790909091,4.73370630869604,13.3619558345864
"31","2018_11_north central",1.32873333333333,0.905565,1.544247,12.301845,3.01855,16.986717
"32","2018_11_north west",1.92190911111111,1.17477543570939,3.20772785626973,7.98444522222222,5.45334994044251,10.6427799230635
"33","2018_11_south east",2.444829,1.61375139374617,3.68632175270468,7.42597735714286,6.05480725038406,9.1186921120223
"34","2018_11_south south",1.14471775,0.894108,1.23587625,3.49444725,2.7312945,4.39040375
"35","2018_11_south west",1.639920875,1.27675696520345,2.17006948624422,6.472731125,4.96385479240652,8.57048705539916
"36","2018_12_north central",3.957034,0.706826,3.957034,12.931341,4.240956,12.931341
"37","2018_12_north east",0.795098,0.642852,0.795098,3.281916,1.421016,3.281916
"38","2018_12_north west",2.665919,1.06952966666667,4.573273,11.7372825,6.09116854292386,16.3389632048434
"39","2018_12_south east",4.03704166666667,1.90403916666667,7.324979,9.02559316666667,6.67137689961224,11.4074471666667
"40","2018_12_south west",2.2790536,1.70658088249849,3.38684046219195,7.9777412,5.96917577223944,10.0718047409293
"41","2018_8_north central",1.956699,1.130271,1.956699,5.971378,4.521084,5.971378
"42","2018_8_north west",2.420896,1.3568325,3.128674,9.90183775,7.10260875,12.066962
"43","2018_8_south east",3.11284475,1.08862575,4.7817645,9.75493375,9.24408075,10.1577
"44","2018_8_south south",1.55317733333333,0.967767,1.916405,6.07166433333333,3.871068,7.50516666666667
"45","2018_8_south west",2.90956185714286,1.98333742217468,3.79890790533558,7.85166028571429,5.46572260552172,13.3523057378945
"46","2018_9_north central",1.52907215384615,0.912458437268961,2.54828654407184,4.80853161538462,2.93936951961413,9.92660362661861
"47","2018_9_north east",0.8642575,0.434816,1.28508425,4.7988595,2.4395885,6.41505
"48","2018_9_north west",1.84289808333333,1.21992190433268,2.80716189707168,8.05035725,5.15327495934111,15.4793005791996
"49","2018_9_south east",2.22108582352941,1.56134814477325,3.51089074229189,8.884061,6.36310331432012,11.4002958927154
"50","2018_9_south south",1.773358625,0.846595012559879,3.62066812147167,7.81935625,3.02751910583089,22.2217758228619
"51","2018_9_south west",2.72524480769231,1.84749731903336,4.21822622334805,7.03981880769231,5.19562280522279,9.57222724295225
"52","2021_10_north central",2.42245163636364,1.55707789302343,3.4073885132163,15.3269148181818,10.4281616924463,23.9540636984912
"53","2021_10_north east",1.52639428571429,1.09791014127739,2.31294988181322,23.3121688571429,16.7280927370245,34.9418313808632
"54","2021_10_north west",6.15621241666667,3.56713660595363,10.7675395554156,30.5360425833333,23.6818305007072,38.3984964302253
"55","2021_10_south east",0.8936932,0.4502544,1.3997116,8.213598,3.7763546,12.6508414
"56","2021_10_south south",2.91188516666667,1.07436069483066,5.65884333333333,14.8770466666667,7.76494912286823,20.5608160494326
"57","2021_10_south west",3.00013158823529,2.0936755392292,3.93073519287293,13.5846922941176,9.69763633798137,17.6544780397552
"58","2021_11_north central",3.08428628571429,1.05829442857143,8.56146937648717,22.99732,11.5769473424746,35.8415685741197
"59","2021_11_north east",1.70320828571429,0.846504388075603,3.41393005240484,14.8245404285714,10.5011947930093,19.3629825302916
"60","2021_11_north west",8.1199862,4.4979896,10.622501,25.4755928,19.9241144,35.5124646
"61","2021_11_south east",3.21923233333333,0.516374,7.130235,9.97600466666667,3.098244,13.6967466666667
"62","2021_11_south south",2.1408386,0.9738898,3.394648,16.375863,7.698663,24.6894092
"63","2021_11_south west",1.5903932,1.2129941020828,2.27463256444193,10.9289978666667,7.45532039692712,16.2057368151656
